Time,0LT8GR_E9ESEGH5UY_G9E9:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Load [W],0LT8GR_E9ESEGH5UY_G9E9:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],0LT8GR_E9ESEGH5UY_G9E9:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Mass Flow [kg/s],0LT8GR_E9ESEGH5UY_G9E9:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],0E_HBKIQ5DMQLIJ$2V3J_M:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Load [W],0E_HBKIQ5DMQLIJ$2V3J_M:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],0E_HBKIQ5DMQLIJ$2V3J_M:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Mass Flow [kg/s],0E_HBKIQ5DMQLIJ$2V3J_M:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],17JZCMFRF5TOFTUTIDA0D3::Des Heat Load [W],17JZCMFRF5TOFTUTIDA0D3:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],17JZCMFRF5TOFTUTIDA0D3::Des Heat Mass Flow [kg/s],17JZCMFRF5TOFTUTIDA0D3:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],2RSCZLOBZ4FAK$_WE8VCKM:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Load [W],2RSCZLOBZ4FAK$_WE8VCKM:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],2RSCZLOBZ4FAK$_WE8VCKM:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Mass Flow [kg/s],2RSCZLOBZ4FAK$_WE8VCKM:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],2DQFGGKBB1FOC1CQZDIDLX:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Load [W],2DQFGGKBB1FOC1CQZDIDLX:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],2DQFGGKBB1FOC1CQZDIDLX:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Mass Flow [kg/s],2DQFGGKBB1FOC1CQZDIDLX:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],3$F2P7VYLB7EOX67SA_ZKE::Des Heat Load [W],3$F2P7VYLB7EOX67SA_ZKE:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],3$F2P7VYLB7EOX67SA_ZKE::Des Heat Mass Flow [kg/s],3$F2P7VYLB7EOX67SA_ZKE:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s],347JFE2YX7IHCEIALMUPEH:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Load [W],347JFE2YX7IHCEIALMUPEH:SUMMER DESIGN DAY FROM WEATHER FILE:Des Sens Cool Load [W],347JFE2YX7IHCEIALMUPEH:WINTER DESIGN DAY FROM WEATHER FILE:Des Heat Mass Flow [kg/s],347JFE2YX7IHCEIALMUPEH:SUMMER DESIGN DAY FROM WEATHER FILE:Des Cool Mass Flow [kg/s]
00:15:00,3.454911E+02,2.664540E+01,1.113574E-02,3.734879E-03,3.038468E+02,0.000000E+00,1.130000E-02,0.000000E+00,0.000000E+00,5.203686E+02,0.000000E+00,7.293249E-02,1.712789E+02,1.413063E+02,5.520377E-03,1.980587E-02,1.213695E+03,3.678933E+02,3.911834E-02,5.156615E-02,0.000000E+00,7.252437E+02,0.000000E+00,3.557643E-01,1.578603E+02,1.779272E+02,5.088573E-03,2.493888E-02
00:30:00,3.552994E+02,3.230050E+01,1.145196E-02,4.527950E-03,3.086637E+02,0.000000E+00,1.147920E-02,0.000000E+00,0.000000E+00,5.238334E+02,0.000000E+00,7.341636E-02,1.842482E+02,1.389615E+02,5.938424E-03,1.947706E-02,1.269527E+03,3.891512E+02,4.091809E-02,5.454581E-02,0.000000E+00,7.020668E+02,0.000000E+00,3.443862E-01,1.617603E+02,1.814475E+02,5.214260E-03,2.543213E-02
00:45:00,3.630958E+02,4.204873E+01,1.170335E-02,5.894272E-03,3.125525E+02,0.000000E+00,1.162389E-02,0.000000E+00,0.000000E+00,5.297957E+02,0.000000E+00,7.424993E-02,1.964336E+02,1.388968E+02,6.331198E-03,1.946763E-02,1.319879E+03,4.235397E+02,4.254123E-02,5.936455E-02,0.000000E+00,6.806786E+02,0.000000E+00,3.338871E-01,1.660679E+02,1.884070E+02,5.353083E-03,2.640702E-02
01:00:00,3.688871E+02,5.575557E+01,1.189014E-02,7.815493E-03,3.155072E+02,0.000000E+00,1.173385E-02,0.000000E+00,0.000000E+00,5.382398E+02,0.000000E+00,7.543251E-02,2.086837E+02,1.410625E+02,6.726064E-03,1.977099E-02,1.364588E+03,4.708965E+02,4.398252E-02,6.600137E-02,0.000000E+00,6.610719E+02,0.000000E+00,3.242674E-01,1.707812E+02,1.987578E+02,5.504985E-03,2.785746E-02
01:15:00,3.684008E+02,7.074755E+01,1.187448E-02,9.916880E-03,3.156239E+02,0.000000E+00,1.173820E-02,0.000000E+00,0.000000E+00,5.504095E+02,0.000000E+00,7.713866E-02,2.100557E+02,1.465261E+02,6.770284E-03,2.053678E-02,1.362759E+03,5.377130E+02,4.392366E-02,7.536620E-02,0.000000E+00,6.439514E+02,0.000000E+00,3.158726E-01,1.727627E+02,2.142769E+02,5.568861E-03,3.003254E-02
01:30:00,3.680428E+02,6.361428E+01,1.186296E-02,8.916590E-03,3.157552E+02,0.000000E+00,1.174308E-02,0.000000E+00,0.000000E+00,5.457074E+02,0.000000E+00,7.648132E-02,2.111887E+02,1.388268E+02,6.806805E-03,1.945776E-02,1.361241E+03,5.134316E+02,4.387478E-02,7.196238E-02,0.000000E+00,6.387246E+02,0.000000E+00,3.133161E-01,1.746383E+02,2.069993E+02,5.629327E-03,2.901256E-02
01:45:00,3.678068E+02,5.887965E+01,1.185537E-02,8.253005E-03,3.159118E+02,0.000000E+00,1.174891E-02,0.000000E+00,0.000000E+00,5.425698E+02,0.000000E+00,7.604447E-02,2.129706E+02,1.326371E+02,6.864237E-03,1.859065E-02,1.360050E+03,4.969697E+02,4.383646E-02,6.965631E-02,0.000000E+00,6.345638E+02,0.000000E+00,3.112847E-01,1.764405E+02,2.018744E+02,5.687432E-03,2.829489E-02
02:00:00,3.671370E+02,5.669261E+01,1.183379E-02,7.946501E-03,3.157564E+02,0.000000E+00,1.174314E-02,0.000000E+00,0.000000E+00,5.410178E+02,0.000000E+00,7.582933E-02,2.145543E+02,1.279808E+02,6.915276E-03,1.793837E-02,1.358960E+03,4.885531E+02,4.380137E-02,6.847771E-02,0.000000E+00,6.314781E+02,0.000000E+00,3.097786E-01,1.771280E+02,1.989577E+02,5.709603E-03,2.788663E-02
02:15:00,3.664287E+02,5.457102E+01,1.181098E-02,7.649154E-03,3.155584E+02,0.000000E+00,1.173579E-02,0.000000E+00,0.000000E+00,5.394827E+02,0.000000E+00,7.561573E-02,2.160653E+02,1.235462E+02,6.963969E-03,1.731703E-02,1.357797E+03,4.801922E+02,4.376392E-02,6.730660E-02,0.000000E+00,6.284691E+02,0.000000E+00,3.083080E-01,1.777018E+02,1.961390E+02,5.728116E-03,2.749194E-02
02:30:00,3.656660E+02,5.253232E+01,1.178641E-02,7.363419E-03,3.153275E+02,0.000000E+00,1.172722E-02,0.000000E+00,0.000000E+00,5.379707E+02,0.000000E+00,7.540490E-02,2.174909E+02,1.193095E+02,7.009915E-03,1.672334E-02,1.356569E+03,4.718848E+02,4.372440E-02,6.614280E-02,0.000000E+00,6.255360E+02,0.000000E+00,3.068736E-01,1.781945E+02,1.934037E+02,5.744012E-03,2.710882E-02
02:45:00,3.648276E+02,5.057703E+01,1.175941E-02,7.089373E-03,3.150680E+02,0.000000E+00,1.171758E-02,0.000000E+00,0.000000E+00,5.364793E+02,0.000000E+00,7.519679E-02,2.188314E+02,1.152571E+02,7.053115E-03,1.615545E-02,1.355276E+03,4.636403E+02,4.368277E-02,6.498771E-02,0.000000E+00,6.226785E+02,0.000000E+00,3.054758E-01,1.786003E+02,1.907475E+02,5.757108E-03,2.673675E-02
